Acc	UGCluster	LLID
BC037936	Hs.413457	256329
BC029146	Hs.424907	144193
BC012474	Hs.56382	124790
BC013831	Hs.550538	84268
BC005870	Hs.334626	84292; 4125
BC007438	Hs.514211	84336
BC010102	Hs.495851	79135; 6133
BC001310	Hs.303899	79074
BC054030	Hs.385865	348793; 84977
BC017363	Hs.145156	79012
BC001508	Hs.148845	79078
BC010512	Hs.433573	83638
BC031649	Hs.528504	388695
BC063311	Hs.148741	255488
BC029959	Hs.89560	3425
AF198254	Hs.144936	10642
BC000844	Hs.76095	8870
BC000128	Hs.15725	51278
BC004137	Hs.496267	3476
BC062312	Hs.503048	3508
BC031063	Hs.553678	285313
BC033819	Hs.365689	57863
BC003690	Hs.411865	79711
BC030639	Hs.180919	3398
BC013038	Hs.524210	51147
BC012114	Hs.43505	8517
BC053895	Hs.471508	3667
AF007567	Hs.159609	8471
AF064078	Hs.248138	3645
AF020763	Hs.20573	3480; 145815
BC053318	Hs.549043	3481
BC064987	Hs.450230	3486
BC016041	Hs.462998	3487
BC011453	Hs.369982	3488
BC066339	Hs.479808	3490
AB037912	Hs.62813	84684
BC010511	Hs.17109	9452
AF140690	Hs.109999	26548
BC011845	Hs.534326	3692
AF109681	Hs.436416	22801
BC008777	Hs.174103	3683
BC047454	Hs.436873	3685
BC001554	Hs.5158	3611; 55522
AJ277481	Hs.5158	3611; 55522
BC000660	Hs.75254	3661
BC012580	Hs.66	9173
BC013142	Hs.1722	3552
BC022315	Hs.193717	3586
BC012506	Hs.467304	3589
AF043334	Hs.845	3596
BC006411	Hs.129959	84818
BC015511	Hs.512234	3569; 541472
BC032487	Hs.536926	3574
BC014963	Hs.522819	3654
BC063847	Hs.553529	27130
BC005806	Hs.518197	9657
BC064971	Hs.430551	8826
BC011906	Hs.350702	23479
BC017027	Hs.505	3670
BC005922	Hs.487561	3382
BC000933	Hs.410197	3421
BC019227	Hs.283652	3422
AF028593	Hs.224012	182
BC021213	Hs.29595	11230
BC002558	Hs.155983	9682
AB015348	Hs.443650	10765
BC054499	Hs.334674	8242
BC004250	Hs.25292	3726
BC051303	Hs.196482	122953
BC036703	Hs.532793	3837
BC012994	Hs.520210	11014
BC022033	Hs.63841	84078
BC064576	Hs.348262	90293
BC050639	Hs.368588	3792
BC002661	Hs.463032	3860
BC002641	Hs.80342	3866
BC057233	Hs.516671	200185
BC006233	Hs.159525	3795
BC010132	Hs.445893	10657
BC011408	Hs.438550	23310
BC016297	Hs.507074	9761
BC001725	Hs.47313	9827
BC017393	Hs.203099	23063
AB002296	Hs.130836	9866
BC032944	Hs.497417	9870
BC065234	Hs.371078	23116
BC024591	Hs.212046	23262
BC001331	Hs.410092	9776
AB018296	Hs.28070	9851
BC032620	Hs.517946	23276
AB023222	Hs.298382	23322
BC063683	Hs.173001	84146
AB037758	Hs.202355	57540
BC030774	Hs.478095	57560
BC063551	Hs.380159	57570
BC032463	Hs.186756	57592
BC028042	Hs.408161	57611
BC017776	Hs.507922	55425
BC031530	Hs.209561	80856
BC019338	Hs.11900	84619
BC044246	Hs.172870	114801
BC017309	Hs.397918	22944
AF063658	Hs.479756	3791
AK025303	Hs.189915	63971
BC017705	Hs.270845	9493
BC014924	Hs.69360	11004
BC018932	Hs.21611	3797
BC011801	Hs.279766	24137
BC033961	Hs.151219	3798
BC015311	Hs.373947	64147
BC015171	Hs.528713	90990
BC019057	Hs.23131	3801
BC028679	Hs.433442	22920
BC012357	Hs.408062	89953
BC035342	Hs.107740	10365
BC030811	Hs.376206	9314
BC014302	Hs.508234	688
BC012919	Hs.471221	8609
AF325914	Hs.435483	84662
BC025843	Hs.522818	3897
BC075838	Hs.497636	3914
BC015586	Hs.497039	3915
AF489528	Hs.49787	4052
BC014781	Hs.387239	3931
BC032330	Hs.465295	3998
BC001755	Hs.519075	25802
BC067251	Hs.46458	10536
BC015949	Hs.200596	9836
BC015309	Hs.437656	64175
BC009239	Hs.495188	90678
BC036494	Hs.33470	203190
BC018529	Hs.125742	4034
BC026214	Hs.78788	8216
BC045607	Hs.434481	4058
BC039134	Hs.497581	1939
BC002353	Hs.418105	27239
BC017594	Hs.447794	51074
BC064544	Hs.129448	22888; 60493
BC053563	Hs.444569	81671
BC012460	Hs.334851	3927
BC010929	Hs.49998	11155
BC065818	Hs.436792	8543
BC036856	Hs.443727	3975
BC033803	Hs.477234	4045
BC064633	Hs.199368	64129
BC017824	Hs.507798	10186
BC022256	Hs.154078	3929
BC070199	Hs.337588	116842
BC038410	Hs.517991	92346
AF074264	Hs.210343	4040
BC014586	Hs.521295	28959
BC005938	Hs.424908	23658
BC002796	Hs.46446	4066
AF064827	Hs.153563	4065
BC010271	Hs.381099	3936
BC017034	Hs.533479	11313
BC002965	Hs.496684	3920
BC068542	Hs.65436	4016
BC033130	Hs.469045	84695
